Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,"Connection to communal, district or campus heat network","New, renovation or expansion of existing heat network",Number of customer connections,"Types of Building (domestic, non domestic or mixed)",Types of buildings,Technology Type,Secondary plant technology,Third plant technology,Backup plant technology,Installed Capacity (MWelec),Primary Fuel type,Heat Source,Temperature of heat supply (Celsius),Heat Storage,Heat Storage (Volume m3),Heat Enabled,Cooling Enabled,CHP Enabled,Length of distribution network in m,Average diameter of pipes in mm,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Decommissioned / Abandoned / No Application Made
5726,12/06/2023,Scottish Borders Council,"High Street, Earlston - Community Campus",Communal,New,3,Non Domestic,"Nursery, Medical Centre, Library ",Air Source Heat Pumps,,,,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,,,"High Street, Earlston",Borders,Scotland,Scotland,TD4 6JQ,357768,638464,Scottish Borders,21/01797/FUL,,,,,16/11/2021,,,,,,,28/04/2022,,,,,12/06/2023,,
8281,07/04/2021,GT Energy UK Limited,Etruria Valley Geothermal Heat Plant,District,Expansion,,,Unspecified,Ground Source Heat Pumps,,,,,Electric,Deep Geothermal - Mine Water,,,,Yes,,No,,,Planning Permission Granted,Awaiting Construction,,,Land Off Festival Way,Staffordshire,West Midlands,England,ST1 5PU,386852,347977,Stoke-on-Trent,20/00986/FUL,,,,,19/11/2020,,,,,,,18/02/2021,,,,,,,
8544,17/10/2022,University of York,The University Of York -  Energy Centre,Campus,Expansion,,Non Domestic,University,Gas Fired CHP,,,Gas Boiler,2.00,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,,,"S/O Kimberlow Lane, Heslington, York",North Yorkshire,Yorkshire and Humber,England,YO10 5DD,462454,450613,York,20/00427/REM,,,,,03/03/2020,,,,,,,08/10/2020,,,,,,,
8545,05/11/2021,The Wheler Foundation,Ledston Hall ,Communal,New,10,Domestic,Residential,Gas Fired CHP,,,,,Gas,,,,,Yes,,Yes,,,Operational,Operational,,,"Ledston Hall, Hall Lane, Ledston, Castleford",West Yorkshire,Yorkshire and Humber,England,WF10 2BB,443542,428939,Leeds,20/00261/LI ,,,,,14/01/2020,,,,,,,04/12/2020,,,,,,01/11/2021,
8546,29/07/2022,Plymouth City Council,The Guildhall - Energy centre,District,Renovation,3,Non Domestic,"Office, Town Hall",Air Source Heat Pumps,,,Gas Boiler,,Electric,,,,,Yes,,No,,,Under Construction,Under Construction,,,"The Guildhall, Royal Parade, Plymouth",Devon,South West,England,PL1 2BJ,247835,54394,Plymouth,20/01673/LBC,,,,,09/11/2020,,,,,,,11/03/2021,,,,,,,
8550,15/03/2021,South West London and St Georges NHS Trust,Springfield Hospital ,District,New,,Non Domestic,Hospital,Gas Fired CHP,,,Gas Boiler,0.40,Gas,,,,,Yes,Yes,Yes,,,Under Construction,Under Construction,,,"Springfield University Hospital Site, 61 Glenburnie Road, Tooting",London,London,England,SW17 7DJ,527307,172337,Wandsworth,2010/3703,,,,,10/09/2010,,,,,,,20/06/2012,,,,,,,
8553,06/01/2023,Stanhope Plc,Ruskin Square Development,District,New,,Mixed,"Residential, Retail",Gas Fired CHP,,,,1.40,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,,,"Adj to East Croydon Station, George Street, inc 1-5 Station Approach, Dingwall Road, Croydon",Surrey,London,England,CR0 1LF,532835,165717,Croydon,11/00631/P,,,,,03/03/2011,,,,,,,,,,,,,,
8554,11/03/2022,Energetik,4 Advent Way ,District,New,,Mixed,Unspecified,Gas Boiler,Gas Fired CHP,,,,Gas,,,,,Yes,,Yes,,,Under Construction,Under Construction,,,"4 Advent Way, Upper Edmonton",London,London,England,N18 3AG,535731,192446,Enfield,18/04517/FUL,,,,,05/12/2018,,,,,,,,,,,,,,
8556,06/01/2023,South Tyneside Council,Viking Energy Network,District,New,,Mixed,"Residential, Hospital, Office, Gym, Town Hall, Community Hub",Water Source Heat Pumps,Gas Fired CHP,,,,Electric,,,Yes,50.00,Yes,,Yes,4600.00,,Operational,Operational,,,Adj River Tyne,Tyne and Wear,North East,England,NE33,431842,565695,South Tyneside,ST/0655/20/LAA,,,,,07/12/2020,,,,,,,29/03/2021,,,,,,01/03/2023,
8557,14/12/2021,Manchester City Council,Manchester Civic Quarter Heat Network,District,New,,Non Domestic,"Library, Gallery, Arena, Town Hall",Gas Fired CHP,Gas Boiler,,,27.00,Gas,,,,,Yes,Yes,Yes,2000.00,450.00,Operational,Operational,,,Ncp Car Park Manchester Central,Greater Manchester,North West,England,M2 3WS,383669,397661,Manchester,118869/VO/2018,,,,,22/01/2018,,,,,,,,,,,,,01/01/2022,
